Dist,L,λ/steps,Noise,Shots,Backend,Fidelity,TVD,TVD±1σ,JSD
EXP,3,0.4,medium,4096,ibm_mumbai,0.9975818919882303,0.024382148088814785,0.0244±0.0071,0.001205645621418401
EXP,3,0.5,medium,4096,ibm_mumbai,0.996650828156405,0.026592424107286818,0.0266±0.0069,0.001624917883741354
EXP,3,0.6,medium,4096,ibm_mumbai,0.9953010345368477,0.030451774115703524,0.0305±0.0067,0.0022825717986603403
EXP,3,0.7000000000000001,medium,4096,ibm_mumbai,0.9919250412170512,0.03065058130172419,0.0307±0.0065,0.0038632571748301826
EXP,3,0.8,medium,4096,ibm_mumbai,0.9886507216540419,0.03587602493090621,0.0359±0.0063,0.005265324691592249
EXP,3,0.9,medium,4096,ibm_mumbai,0.9862077507194569,0.038160422931662906,0.0382±0.0061,0.006210764121531427
EXP,3,1.0,medium,4096,ibm_mumbai,0.9832910015838602,0.037959365849694636,0.0380±0.0060,0.007296656349903866
EXP,3,0.1,high,4096,ibm_mumbai,0.9994318594657386,0.01854156780145297,0.0185±0.0075,0.00028407409502021787
EXP,3,0.2,high,4096,ibm_mumbai,0.9990647532251122,0.023688058857960076,0.0237±0.0074,0.00046754227193470527
EXP,3,0.30000000000000004,high,4096,ibm_mumbai,0.9982732122163023,0.02606999144115549,0.0261±0.0072,0.0008621847608948885
EXP,3,0.4,high,4096,ibm_mumbai,0.9975818919882303,0.024382148088814785,0.0244±0.0071,0.001205645621418401
EXP,3,0.5,high,4096,ibm_mumbai,0.9951776614198289,0.02907313708554802,0.0291±0.0069,0.0023490336257304947
EXP,3,0.6,high,4096,ibm_mumbai,0.9953010345368477,0.030451774115703524,0.0305±0.0067,0.0022825717986603403
EXP,3,0.7000000000000001,high,4096,ibm_mumbai,0.9920255671428874,0.029548673910586014,0.0295±0.0065,0.003796092667096779
EXP,3,0.8,high,4096,ibm_mumbai,0.9887575996725454,0.0406919091956422,0.0407±0.0063,0.005219350519238406
EXP,3,0.9,high,4096,ibm_mumbai,0.9862077507194569,0.038160422931662906,0.0382±0.0061,0.006210764121531427
EXP,3,1.0,high,4096,ibm_mumbai,0.9834569395326382,0.042621341082991517,0.0426±0.0060,0.007250530883552034
EXP,3,0.1,low,8192,ibm_mumbai,0.999363569469505,0.019576585230718035,0.0196±0.0053,0.00031819318498860585
EXP,3,0.2,low,8192,ibm_mumbai,0.9992106353161637,0.02004803896272704,0.0200±0.0052,0.0003946462189701931
EXP,3,0.30000000000000004,low,8192,ibm_mumbai,0.9986053746071424,0.02202674882457285,0.0220±0.0051,0.0006965016459566523
EXP,3,0.4,low,8192,ibm_mumbai,0.9982261192388672,0.024050080011558415,0.0241±0.0050,0.0008852141675970212
EXP,3,0.5,low,8192,ibm_mumbai,0.9969537843466068,0.026185658050995302,0.0262±0.0049,0.0015122074059700603
EXP,3,0.6,low,8192,ibm_mumbai,0.995164099278957,0.02722328676094671,0.0272±0.0047,0.0023627387668426155
EXP,3,0.7000000000000001,low,8192,ibm_mumbai,0.9919610780602762,0.031120024738962897,0.0311±0.0046,0.0038303375138381457
EXP,3,0.8,low,8192,ibm_mumbai,0.9894595757335267,0.03260809628717951,0.0326±0.0045,0.004866974071111524
EXP,3,0.9,low,8192,ibm_mumbai,0.9864128119653985,0.03925705468689978,0.0393±0.0043,0.006082498503694707
EXP,3,1.0,low,8192,ibm_mumbai,0.9836936222938115,0.03700558108153376,0.0370±0.0042,0.007095293864688014
EXP,3,0.1,medium,8192,ibm_mumbai,0.999363569469505,0.019576585230718035,0.0196±0.0053,0.00031819318498860585
EXP,3,0.2,medium,8192,ibm_mumbai,0.9991498256982416,0.021152517710779237,0.0212±0.0052,0.00042504163808104885
EXP,3,0.30000000000000004,medium,8192,ibm_mumbai,0.9988551310319682,0.020572216611957805,0.0206±0.0051,0.0005717767004308508
EXP,3,0.4,medium,8192,ibm_mumbai,0.9982261192388672,0.024050080011558415,0.0241±0.0050,0.0008852141675970212
EXP,3,0.5,medium,8192,ibm_mumbai,0.9969537843466068,0.026185658050995302,0.0262±0.0049,0.0015122074059700603
EXP,3,0.6,medium,8192,ibm_mumbai,0.995164099278957,0.02722328676094671,0.0272±0.0047,0.0023627387668426155
EXP,3,0.7000000000000001,medium,8192,ibm_mumbai,0.9919569155522846,0.03283228369260107,0.0328±0.0046,0.0038134472484095544
EXP,3,0.8,medium,8192,ibm_mumbai,0.9894595757335267,0.03260809628717951,0.0326±0.0045,0.004866974071111524
EXP,3,0.9,medium,8192,ibm_mumbai,0.9864421635120852,0.03505556297006981,0.0351±0.0043,0.006058839327934567
EXP,3,1.0,medium,8192,ibm_mumbai,0.9833047902400227,0.04274288576903376,0.0427±0.0042,0.007267089896217785
EXP,3,0.1,high,8192,ibm_mumbai,0.9995034719101296,0.01719177107128695,0.0172±0.0053,0.0002482611064013997
EXP,3,0.2,high,8192,ibm_mumbai,0.9991498256982416,0.021152517710779237,0.0212±0.0052,0.00042504163808104885
